Issue Type,Summary,Description,Priority,Status,Component,Epic Link,Sprint,Story Points,Assignee,Reporter,Labels,Original Estimate,Start Date,Due Date,Parent
Story,Crear HTML admin mejorado,Estructura completa del nuevo admin.html con sections,High,To Do,Frontend,Panel de Administración,Sprint 2,8,,Frontend Dev,"frontend,html,structure",3h,2026-03-11,2026-03-12,
Story,Formulario de personalización,Inputs para header footer y color con labels y validación,High,To Do,Frontend,Panel de Administración,Sprint 2,5,,Frontend Dev,"frontend,forms,ui",2h,2026-03-12,2026-03-13,
Story,Implementar upload de imágenes,Subir archivos a Firebase Storage con progress bar,High,To Do,Frontend,Panel de Administración,Sprint 2,8,,Frontend Dev,"frontend,firebase,storage",3h,2026-03-14,2026-03-15,
Story,Guardar configuración en Firestore,Persistir cambios en colección configuracion/estilos,High,To Do,Frontend,Panel de Administración,Sprint 2,8,,Frontend Dev,"frontend,firebase,backend",2h,2026-03-15,2026-03-15,
Story,Tab de estadísticas,Mostrar métricas de registros con filtros por fecha,Medium,To Do,Frontend,Panel de Administración,Sprint 2,5,,Frontend Dev,"frontend,analytics,ui",3h,2026-03-16,2026-03-17,
Task,Estilos CSS admin panel,CSS responsive moderno con variables y dark mode,Medium,To Do,Frontend,Panel de Administración,Sprint 2,5,,Frontend Dev,"frontend,css,design",2h,2026-03-17,2026-03-18,
Epic,Integración Frontend,Aplicar personalización en el sitio principal,High,To Do,Frontend,,Sprint 3,,,Dev Team,"frontend,integration",,,2026-03-22,
Story,Crear config-loader.js,Módulo ES6 para cargar configuración desde Firestore,High,To Do,Frontend,Integración Frontend,Sprint 3,8,,Frontend Dev,"frontend,firebase,module",2h,2026-03-19,2026-03-19,
Story,Aplicar color primario,CSS variables --primary-color en todo el sitio,High,To Do,Frontend,Integración Frontend,Sprint 3,5,,Frontend Dev,"frontend,css,theming",1h,2026-03-19,2026-03-20,
Story,Integrar en index.html,Importar y ejecutar config-loader al cargar página,High,To Do,Frontend,Integración Frontend,Sprint 3,5,,Frontend Dev,"frontend,integration,javascript",1h,2026-03-21,2026-03-21,
Task,Testing integración,Verificar funcionamiento correcto end-to-end,High,To Do,Frontend,Integración Frontend,Sprint 3,8,,QA Team,"testing,integration,qa",2h,2026-03-22,2026-03-22,
Epic,Documentación,Guías y manuales del sistema,Medium,To Do,Documentation,,Sprint 3,,,Tech Writer,"documentation",,,2026-03-26,
Task,Crear FIREBASE_DATABASE.md,Doc con estructura colecciones consultas y ejemplos código,Medium,To Do,Documentation,Documentación,Sprint 3,3,,Tech Writer,"docs,firebase,technical",3h,2026-03-23,2026-03-24,
Task,Crear DEPLOYMENT.md,Guía completa de deployment en Vercel paso a paso,Medium,To Do,Documentation,Documentación,Sprint 3,5,,Tech Writer,"docs,devops,deployment",2h,2026-03-24,2026-03-24,
Task,Crear CUSTOMIZATION.md,Guía de cómo personalizar apariencia desde admin,Medium,To Do,Documentation,Documentación,Sprint 3,3,,Tech Writer,"docs,admin,user-guide",2h,2026-03-24,2026-03-25,
Story,Actualizar README.md,Documentación completa profesional con badges,High,Done,Documentation,Documentación,Sprint 3,5,,Tech Writer,"docs,general",2h,2026-03-03,2026-03-03,
Epic,Testing y QA,Pruebas exhaustivas del sistema completo,High,To Do,QA,,Sprint 4,,,QA Team,"testing,qa,critical",,,2026-04-02,
Task,Testing funcional registro,Probar formulario de registro completo con validaciones,High,To Do,QA,Testing y QA,Sprint 4,5,,QA Team,"testing,functional,forms",1h,2026-03-27,2026-03-27,
Task,Testing upload imágenes,Probar subida de archivos a Storage con diferentes formatos,High,To Do,QA,Testing y QA,Sprint 4,8,,QA Team,"testing,functional,storage",1h,2026-03-27,2026-03-28,
Task,Validar firestore.rules,Probar reglas de seguridad Firestore con diferentes usuarios,High,To Do,QA,Testing y QA,Sprint 4,8,,QA Team,"testing,security,backend",2h,2026-03-29,2026-03-29,
Task,Validar storage.rules,Probar reglas de seguridad Storage intentos no autorizados,High,To Do,QA,Testing y QA,Sprint 4,8,,QA Team,"testing,security,backend",1h,2026-03-29,2026-03-29,
Task,Testing responsive mobile,Verificar funcionamiento en dispositivos móviles reales,High,To Do,QA,Testing y QA,Sprint 4,8,,QA Team,"testing,ui,responsive",2h,2026-03-30,2026-03-31,
Task,Testing accesibilidad,Validar contraste navegación teclado y screen readers,Medium,To Do,QA,Testing y QA,Sprint 4,5,,QA Team,"testing,accessibility,a11y",2h,2026-03-31,2026-04-01,
Story,Deploy a staging,Publicar en ambiente de pruebas para testing final,High,To Do,DevOps,Testing y QA,Sprint 4,5,,DevOps Team,"deployment,staging,devops",1h,2026-04-01,2026-04-01,
Task,Pruebas end-to-end staging,Testing completo en staging con datos reales,High,To Do,QA,Testing y QA,Sprint 4,13,,QA Team,"testing,e2e,qa",3h,2026-04-01,2026-04-02,
Story,Deploy a producción,Publicar versión final a producción con rollback plan,High,To Do,DevOps,Testing y QA,Sprint 4,13,,DevOps Team,"deployment,production,release",1h,2026-04-02,2026-04-02,
Task,Monitoreo post-deployment,Vigilar errores logs performance primeras 24-48 horas,High,To Do,DevOps,Testing y QA,Sprint 4,8,,DevOps Team,"deployment,monitoring,support",2h,2026-04-02,2026-04-04,
